lidar_header_stamp,run_a_n,run_b_n,run_c_n,run_a_b_cloud_hash_equal,run_a_b_max_abs_initial_raw_final_pose_component_diff,run_a_b_fitness_abs_diff,run_a_b_iterations_equal,run_a_b_convergence_equal,run_a_b_exact_diagnostics,run_c_matches_a_diagnostics,captured_point_xyz_hash_a_b_c_equal,captured_point_count_a_b_c,captured_raw_message_hash_a_b_c_equal
1660857419.823389053,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857419.924248934,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857420.025053024,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857420.125912905,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857420.226773024,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857420.327632904,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857420.428493023,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857420.529352903,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857420.630213022,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857420.731072903,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857420.831933022,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857420.932792902,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857421.033596992,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
1660857421.134457111,1651,1651,1651,YES,0,0,YES,YES,YES,YES,YES,YES,YES
